PRATICA;CERTIFICATO
451932;11053,04
452112;28000
452121;36726,07
452948;38120
454147;8680
454270;27040
456742;14273,08
471559;75449,55
471564;42661,57
471569;148050
471581;149000
471587;53250
471589;45000
471591;107625
471593;75000
471597;35418,88
471598;105120,76
471600;358595,06
471613;53162
471632;35052,5
471697;409007,21
471703;23749
471715;53450
471756;120379,83
471959;39390
472043;148000
472320;100500
472339;35000
472737;62682,87
472846;96825,54
473272;121897,5
473386;117832,5
473546;80233,88
473551;29100
474118;148395,2
474389;82000
474880;48000
475391;71543,26
475515;110552,1
476062;25000
476068;25000
476074;25000
476086;25000
476088;25000
476203;25000
476246;25000
476260;25000
476275;25000
476602;25000
476638;25000
476660;25000
477152;11642,1
477251;150000
477376;25000
477833;25000
477893;72780
478113;41926
478393;11280
478544;25000
478714;25000
478933;25000
478938;25000
479077;540000
479100;25000
479354;127500
479430;25000
479694;25000
479744;22245,92
479897;25000
480101;25000
480157;25000
480291;25000
480314;47659,35
480316;25000
480373;25000
480534;25000
480672;58492,49
480801;49200
480839;25000
480929;15800
480944;25000
480978;60000
480993;117000
481073;30000
481096;12000
481151;12000
481255;2560
481274;12000
481283;2550
481289;25000
481441;25000
481485;25000
481501;25000
481674;30000
481753;25000
481756;185686,04
481810;11319,12
482044;25000
482241;25000
482320;119448,75
482398;69771,55
482456;25000
482493;12000
482501;29700
482513;25000
482529;25000
482535;33975
482586;112500
482594;25000
482642;25000
482652;25000
482820;5176,75
482927;25000
483032;25000
483063;25000
483141;25000
483158;25000
483280;30000
483284;25000
483313;25000
483353;30000
483414;25000
483508;25000
483577;25000
483719;25000
483792;25000
483805;25000
483828;25000
484124;42462
484139;25000
484287;25000
484334;25000
484347;25000
484387;25000
484400;25000
484482;25000
484652;25000
484701;25000
484713;36499,24
484724;25000
484728;25000
484753;11000
484861;2530
484872;25000
484889;25000
484891;25000
485413;2478,39
485564;25000
485578;25000
485592;25000
485627;25000
485643;25000
485712;25000
485773;144150
485805;25000
485817;25000
485824;97080
485978;25000
486112;6000
486212;85273,36
486245;25000
486302;25000
486421;25000
486878;17550
487016;107338,8
487074;90000
487477;50800
487487;30000
487772;14400
487774;30000
488194;30000
488250;150000
488272;336750
488668;113394,3
489021;30000
489155;4251
489530;82221,75
489675;30000
489784;3253,15
490096;12000
490645;107007,53
491133;1875
491176;10315,25
491208;4132,71
491492;87000
492312;10615,55
492326;10716,75
492495;6000
492695;12000
492696;5830
492698;9996,04
492703;6000
492706;5639,56
492714;9068,95
492716;6000
492719;3190
492720;11759
492764;10723,35
492765;12000
492841;10649,48
492905;4778,5
493147;12000
493287;1929,79
493300;5563,25
493594;5320,98
493859;12000
493880;8823,25
493914;106250
494891;36000
495179;1860,63
495274;2076,25
495412;2425
496350;6000
496401;30000
496476;233907,22
496723;60988,89
496943;1595
497017;51430,61
497153;12000
497376;4200
497605;150000
498399;4831,25
498728;6000
499672;3779,05
500544;30000
500658;4608,2
500716;10825
501463;4483,14
502231;5754,81
502324;56272
502531;150000
502612;14389,7
502635;149934
502834;149250
503272;9806,23
504021;6000
504518;54600
504523;40303,48
504601;6000
505201;5896,35
505444;3780
505692;14400
505920;7200
505935;12000
506131;12000
506417;6000
506457;12000
506539;112496,65
507025;12000
508572;101368,58
508852;12000
509341;5805,7
509431;147000
510123;4377,45
510233;8887,17
510275;3245
510465;6856,85
510632;14400
510845;5933,4
510860;3564,55
510878;12000
510921;50700
511386;4026
511408;5225
511593;1092,03
511658;6000
511823;12000
511895;37650
511932;4085,4
511980;7803,95
512419;4113
512437;12000
512641;12000
512766;6000
512814;9761,93
517876;12000
520588;14400
520721;7200
522628;63556,8
522845;5931,48
523107;2590
523311;5764,5
523362;9211,67
523819;5500
523839;6636,06
525065;149625
527446;11639,43
529988;12000
530185;43050
534517;4356
537995;10195,56
538508;15071,87
539882;6000
540930;135750
541669;2200
542095;12129,25
542212;2894
542589;3150
543921;6000
544107;6000
544194;7200
545997;12000
546377;9959,2
546542;7200
546583;4339,77
548130;1150
549550;12000
549648;3146,94
549936;12000
550219;5509,63
550495;7200
550497;5347,65
550947;132467,23
551163;12000
551233;3137
552882;6897,51
553257;97000
553309;5522
553876;12000
554715;6000
555728;4110,98
561667;110100
567391;97800
569140;94860,41
569533;63980,21
570230;409875
570724;195000
572285;654974,89
573318;65332,86
573833;30000
574272;4093,48
575074;277645,86
575213;4580,72
575254;26877,73
576379;10514,68
576920;6230,28
577015;132610,54
579368;30000
5796;5918,37
580041;30000
580343;48807,36
581599;67255,72
582300;6500
5825;1721789,69
584625;46100
586836;4944
588152;63570
593308;444000
594059;76282,49
594122;106067,83
596588;869805,66
597419;63565
597504;165000
597602;202997,42
599685;120300
601249;55500
602910;105000
603408;5221,72
604673;30000
605507;33719,39
606849;54620,95
607357;30000
608804;91305,87
610560;30000
613864;53250
615955;3968,17
617366;155832,54
617474;30000
620869;3698,53
622389;30000
622804;30000
626397;5848,8
626406;1374999,97
627626;30000
635814;30000
638447;30000
639784;54820,5
641628;195749
642104;30000
643360;194905,65
646424;3737,51
647846;72345
648460;73125
649930;23700
651706;31900
653724;8886
655270;72800
657040;7600
660619;120058,2
660654;7206,55
662006;46218,27
662848;29700
664211;66443,67
664982;147750
665382;29250
666407;76000
666939;18750
667317;4821,29
668933;210000
670278;18265,05
670834;42000
671159;64840,72
671520;79951,02
672667;57400
675012;2,58296E-10
675290;51040
675291;34200
675292;78640
675296;15000
675298;94499,5
675299;111228,11
675300;178052,8
675301;43792,42
675302;8080
675303;193999
675306;9550,4
675307;13200
675309;76828,03
675310;11503,46
675312;33336,47
675313;21600
675314;111315,22
675315;14400
675317;14115,2
675318;44080
675319;158000
675336;21936,37
675337;163944,77
675353;116002,33
675368;48653,4
675398;13529,8
675401;1749576,36
675402;24000
675724;56250
675829;4949,57
676635;29984,84
676656;55899,37
677158;147000
677815;33321,47
678273;4862,27
678780;122250
679445;134850
679793;36357,4
679811;104865
679911;10140,84
680464;387000
681263;5655,63
682075;23665,23
682343;51517,28
682435;6239,35
682875;13682,29
682886;24022,74
683116;51000
683814;87786,24
684373;141000
684542;45076,2
684980;29707,8
685719;111305,49
686334;48443,4
687090;50303,56
687275;133500
688278;46275
688279;70514,2
688640;29999,99
689135;27500
689554;915146,36
689652;150000
691295;142500
691476;6500
691593;112500
691899;50815,89
692543;34400
692817;48750
693063;91926,46
693181;388235,27
693757;64500
693969;33879,15
694420;60000
694648;20430
694781;10980
695022;44250
695112;51859,85
695209;99712,5
695360;23610,47
695566;54276,63
695809;124744,67
695983;337517,17
696112;90000
696809;110550
697122;75600
698497;13150,46
700470;58800
701375;30000
702214;48300
703133;93885
703562;220200
706486;5733,35
707233;34215,7
709641;25000
709646;25000
709679;25000
709714;25000
709769;25000
710649;25000
711007;25000
711605;25000
711911;25000
712437;25000
713253;25000
713410;25000
714478;25000
715279;25000
715304;25000
715315;25000
715440;25000
715615;25000
715860;25000
715944;25000
716019;25000
716198;25000
716578;25000
716607;25000
716641;25000
716898;16065
716929;25000
716969;25000
717831;25000
717851;25000
718095;38149,4
718179;25000
718580;25000
718737;25000
719232;25000
719659;25000
720055;25000
720118;25000
720389;25000
720573;25000
720627;25000
720637;25000
720720;25000
720796;25000
720905;25000
720911;25000
720936;25000
720938;25000
721122;25000
721321;25000
721374;25000
721399;25000
721426;25000
721445;25000
721460;139759,5
721531;25000
721678;25000
721706;25000
721769;25000
721803;25000
721839;25000
721895;25000
721903;25000
721905;25000
721909;25000
721910;25000
722173;25000
723393;25000
723520;25000
723614;25000
723738;25000
723774;25000
723838;25000
723933;25000
728475;60146
728758;135781,65
730571;105300
732870;57000
733137;23850
733519;150000
734327;180000
736921;5979,6
740142;191403,96
741017;449550
742124;2728,9
743769;59072,26
744460;20245,28
747840;21500
747855;73240
747856;30040
747867;118800
750211;98537,64
750533;5106
750621;129000
750913;43405,46
751887;99750
753260;255652,74
754903;46935,04
755402;122939,64
756857;3910,82
757772;42000
758868;49500
762557;42778,96
762733;150000
764067;22157,12
764816;345000
764900;101258,52
766591;112096,5
767227;43650
768302;106305
769504;185977,5
770804;28378
771726;1098872,46
772367;32087,83
772396;30000
772892;150000
774875;25647,37
782858;45240
786894;107443,91
793063;45000
794463;21395,04
796665;91764,5
797577;20916,75
801765;5575,96
806994;40000,1
817259;34750
819872;42447,9
820140;108150
821338;67800
821693;91612,5
821811;136500
822013;96629,05
828986;93529,27
834579;147000
838703;40373,77
845145;292500
851082;14345,81
851125;47944,01
857045;57226,29
859796;100650
868194;6490,4
875258;102775,8
875560;4505,57
882313;120000
886523;75000
890604;47182,2
900871;70500
913627;268667,8
920019;12810,92
931279;3955,91
936195;47236,88
939542;95523
943278;27205
944008;140245,8
944790;47080,14
944811;9810,67
944835;30517,53
944838;29661,39
945833;149250
945889;65669,98
948342;150000
949942;61833,47
950396;98300
952376;105000
952706;3321,45
954458;79725
957774;200000
957923;38432,74
959216;50000
959444;600000
961630;134078,1
962906;21078,64
968659;129694,35
971257;183554,87
972636;120375
973232;45000
973262;0
974269;105000
979104;16853,85
996915;107324,62
997110;70329,05
